No,Question,A,B,C,D,Correct
280,"Yang termasuk Lembaga Penunjang Pasar Modal, antara lain…","SCF, Wali Amanat, Biro Administrasi Efek, dan Pihak Penerbit Daftar Efek Syariah","Bank Kustodian, Wali Amanat, Biro Administrasi Efek, dan Pihak Penerbit Daftar Efek Syariah","SCF, Wali Amanat, Biro Administrasi Efek, dan Bank Kustodian","Bank Kustodian, Wali Amanat, Biro Administrasi Efek, dan Perusahaan Pemeringkat Efek",D
281,Tahapan Pemeriksaan terhadap Lembaga Penunjang Pasar Modal yang benar adalah…,"Penyusunan rencana pemeriksaan, persiapan on-site, pelaksanaan on-site, closing conference, Penyusunan LHP, dan rekomendasi & tindak lanjut on-site","Persiapan on-site, pelaksanaan on-site, closing conference, Penyusunan LHP, dan rekomendasi & tindak lanjut on-site","Penyusunan rencana pemeriksaan, persiapan on-site, pelaksanaan on-site, Penyusunan LHP, closing conference, dan rekomendasi & tindak lanjut","Penyusunan rencana pemeriksaan, pelaksanaan on-site, closing conference, Penyusunan LHP, dan rekomendasi & tindak lanjut",A
282,Pihak yang berdasarkan kontrak dengan Emiten melaksanakan pencatatan pemilikan Efek dan pembagian hak yang berkaitan dengan Efek adalah…,Bank Kustodian,Perusahaan Pemeringkat Efek,Wali Amanat,Biro Administrasi Efek,D
283,Penyampaian oleh Lembaga Penunjang Pasar Modal kepada OJK disampaikan melalui..,SIPENA,APOLO,SiPENDAR,E-Reporting,B
284,Dokumen yang bukan merupakan bagian output dari proses pemeriksaan berdasarkan risiko adalah,Perencanaan Pengawasan,Risalah Exit Meeting,Audit Working Plan,Laporan Hasil Pemeriksaan,A
285,Tugas dan wewenang OJK dalam ekosistem Perdagangan Karbon di Indonesia adalah:,Mengatur dan mengawasi penyelenggaraan perdagangan karbon secara menyeluruh,Mengatur dan mengawasi penerbitan unit karbon dan pendaftaran pada sistem registrasi nasional,Mengatur dan mengawasi perdagangan unit karbon pada pasar sekunder yang ditransaksikan melalui Bursa Karbon,Mengatur dan mengawasi penetapan pengurangan emisi dan penerapan pajak karbon,C
286,Transaksi Benturan Kepentingan adalah transaksi yang dilakukan oleh perusahaan terbuka atau perusahaan terkendali dengan ... yang mengandung Benturan Kepentingan,Pengendali perusahaan terbuka,"Direksi dan Dewan Komisaris perusahaan terbuka, pemegang saham utama perusahaan terbuka dan Pengendali perusahaan terbuka","Setiap pihak, baik dengan Afiliasi maupun pihak selain Afiliasi",Pemegang saham utama perusahaan terbuka,C
287,Ikhtisar Kinerja Keberlanjutan berisikan aspek,"Sosial, lingkungan hidup, dan ekonomi","Ekonomi, politik, dan sosial","Strategi keberlanjutan, ekonomi, dan tata kelola","Tata kelola, sosial, dan lingkungan hidup",A
288,Salah satu aplikasi yang digunakan oleh Pengawas Transaksi Efek untuk melihat data pelaporan transaksi EBUS (Efek bersifat utang (obligasi) atau sukuk) adalah,Tidak ada jawaban yang benar,Penerima Laporan Transaksi Efek (PLTE) Daily Watching,Microsoft Power Point,Sipetro (Nasdaq),B
289,"Berdasarkan ketentuan dalam POJK 11 tahun 2017 tentang laporan kepemilikan atau setiap perubahan kepemilikan saham Perusahaan Terbuka, yang diwajibkan melaporkan kepemilikan saham dan perubahan kepemilikan sahamnya adalah",Setiap pihak yang memiliki paling sedikit 15% atas saham Perusahaan Terbuka,Setiap pihak yang memiliki paling sedikit 10% atas saham Perusahaan Terbuka,Setiap Emiten atau Perusahaan Publik yang memiliki paling sedikit 5% atas saham Perusahaan Terbuka,Setiap pihak yang mmiliki paling sedikit 5% atas saham Perusahaan Terbuka,C
290,Emiten dan Perusahaan Publik menyajikan informasi analisis dan pembahasan oleh manjemen pada,Laporan tahunan,Laporan keuangan tengah tahunan,Laporan keuangan tahunan,Laporan realisasi penggunaan dana,A
291,Yang bukan merupakan tujuan penggunaan e-IPO adalah…,Peningkatan partisipasi penilai dalam pasar perdana,Peningkatan partisipasi perusahaan efek dalam pasar perdana,Percepatan dan efisiensi pelaksanaan Penawaran Umum,Pembentukan harga Penawaran Umum yang lebih transparan,A
292,Yang bukan termasuk dalam komponen penilaian Good Corporate Governance dalam Penilaian Risiko Komposit Perusahaan Efek adalah,Outcome,Process,Income,Structure,C
293,Hal berikut bukan merupakan termasuk tindak pidana pelanggaran pasar modal adalah,Orang yang melakukan pengelolaan portofolio investasi untuk nasabah tanpa izin,Orang yang tidak kooperatif dan menghancurkan catatan bukti transaksi yang sedang diperiksa OJK,Akuntan melaksanakan dan menandatangani opini audit laporan keuangan emiten yang dipublikasikan di BEI,Semua merupakan tindak pidana pelanggaran pasar modal,C
294,Keterbukaan Informasi yang harus segera diumumkan kepada publik wajib disampaikan kepada Otoritas Jasa Keuangan selambat-lambatnya … hari kerja setelah keputusan atau terdapatnya informasi atau fakta material yang mungkin dapat mempengaruhi nilai Efek atau keputusan pemodal,4 (empat),1 (satu),2 (dua),3 (tiga),C
295,Penyampaian Pernyataan Pendaftaran oleh perusahaan kepada OJK dapat dilakukan jika,Tidak ada dokumen yang kurang lengkap,Telah melengkapi dokumen yang dipersyaratkan dan dinyatakan efektif oleh OJK,Prosesnya telah disetujui oleh KSEI dan KPEI,"Melengkapi dokumen yang dipersyaratkan, termasuk dokumen pendukung",B
296,Proses pencatatan Efek oleh perusahaan publik di BEI dilakukan dalam rangka,Penawaran umum (IPO) atau pencatatan Efek selain IPO,Penerbitan surat berharga,Peningkatan modal perusahaan,Penjualan saham kepada investor publik,A
297,Pihak yang bertanggung jawab dalam penyusunan Laporan Penilaian Aset adalah,Penilai,Akuntan Publik,Konsultan Hukum,Notaris,A
298,Manakah pernyataan yang tidak sesuai terkait dengan pelaksanaan pengawasan berbasis teknologi?,"Terintegrasi, real time dan terkoneksi",Memungkinkan pertukaran data yang terpusat,Menghilangkan peran OJK dalam pengawasan,Mempercepat dan mempermudah proses pengawasan,C
299,Manakah pernyataan yang tidak sesuai terkait dengan pengawasan transaksi Efek oleh OJK?,Pengawasan dilakukan secara offsite dan onsite,Pengawasan dilakukan secara mandiri oleh OJK,"Dilakukan untuk menjaga perdagangan Efek yang teratur, wajar, dan efisien",Dilakukan untuk mencegah adanya penipuan dan manipulasi,B
300,"Dalam rangka pelaksanaan pemeriksaan kepatuhan kepada Akuntan Publik, salah satu tahapan yang dilakukan adalah",Penyusunan Rencana Pemeriksaan Kepatuhan,Penyusunan Laporan Penilaian Aset,Pemberian Pernyataan Efektif,Penyusunan Rencana Penawaran Umum,A
301,Pengawasan terhadap profesi penunjang Pasar Modal dilakukan dengan pendekatan,Pendekatan berbasis risiko dan kepatuhan,Pendekatan berbasis kinerja dan hasil,Pendekatan berbasis modal dan aset,Pendekatan berbasis regulasi dan perizinan,A
302,"Terkait dengan pengawasan on-site kepada profesi penunjang Pasar Modal, manakah pernyataan berikut yang paling tepat?",Dilakukan dengan mengirimkan surat permintaan data,Dilakukan untuk memantau kepatuhan secara berkala,Dilakukan dengan meminta laporan berkala,Dilakukan untuk menganalisis risiko sistemik,B
